num_expediente;fecha;hora;localizacion;numero;cod_distrito;distrito;tipo_accidente;estado_meteorol?ico;tipo_vehiculo;tipo_persona;rango_edad;sexo;cod_lesividad;lesividad;coordenada_x_utm;coordenada_y_utm;positiva_alcohol;positiva_droga
2023S000003;01/01/2023;2:00:00;"CUSTA. SAN VICENTE, 34";34;9;MONCLOA-ARAVACA;Choque contra obst?ulo fijo;NULL;Turismo;Conductor;De 45 a 49 a?s;Hombre;NULL;NULL;"439187,099";"4474647,474";N;NULL
2023S000004;01/01/2023;1:35:00;INTER. PLAZA DE CASTILLA / CALL. MATEO INURRIA;0;5;CHAMART?N;Alcance;Despejado;Turismo;Conductor;De 45 a 49 a?s;Mujer;14;Sin asistencia sanitaria;"441564,657";"4479662,718";N;NULL
2023S000004;01/01/2023;1:35:00;INTER. PLAZA DE CASTILLA / CALL. MATEO INURRIA;0;5;CHAMART?N;Alcance;Despejado;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;"441564,657";"4479662,718";N;NULL
2023S000005;01/01/2023;3:00:00;PASEO. PRADO / CALL. ATOCHA;48;1;CENTRO;Colisi? fronto-lateral;Despejado;Turismo;Conductor;De 25 a 29 a?s;Hombre;7;Asistencia sanitaria s?o en el lugar del accidente;"441263,501";"4473421,247";N;NULL
2023S000005;01/01/2023;3:00:00;PASEO. PRADO / CALL. ATOCHA;48;1;CENTRO;Colisi? fronto-lateral;Despejado;Turismo;Conductor;De 30 a 34 a?s;Hombre;14;Sin asistencia sanitaria;"441263,501";"4473421,247";N;NULL
2023S000005;01/01/2023;3:00:00;PASEO. PRADO / CALL. ATOCHA;48;1;CENTRO;Colisi? fronto-lateral;Despejado;Turismo;Conductor;De 35 a 39 a?s;Hombre;14;Sin asistencia sanitaria;"441263,501";"4473421,247";N;NULL
2023S000006;01/01/2023;4:00:00;"CALL. LOPE DE HARO, 16";16;6;TETU?N;Colisi? lateral;Despejado;Turismo;Conductor;De 45 a 49 a?s;Hombre;7;Asistencia sanitaria s?o en el lugar del accidente;"440377,22";"4478721,13";N;NULL
2023S000006;01/01/2023;4:00:00;"CALL. LOPE DE HARO, 16";16;6;TETU?N;Colisi? lateral;Despejado;Turismo;Conductor;De 55 a 59 a?s;Hombre;14;Sin asistencia sanitaria;"440377,22";"4478721,13";S;NULL
2023S000007;01/01/2023;5:35:00;"CALL. ARROYO DE LA BULERA, 11A";11A;17;VILLAVERDE;Otro;Despejado;Turismo;Conductor;De 21 a 24 a?s;Hombre;NULL;NULL;"442149,475";"4465639,237";N;NULL
2023S000008;01/01/2023;5:50:00;CALL. CASTILLO DE UCLES / CALL. VALDECANILLAS;63;20;SAN BLAS-CANILLEJAS;Choque contra obst?ulo fijo;Despejado;Motocicleta hasta 125cc;Conductor;De 21 a 24 a?s;Hombre;2;Ingreso inferior o igual a 24 horas;"447208,252";"4476063,574";S;NULL
2023S000008;01/01/2023;5:50:00;CALL. CASTILLO DE UCLES / CALL. VALDECANILLAS;63;20;SAN BLAS-CANILLEJAS;Choque contra obst?ulo fijo;Despejado;Motocicleta hasta 125cc;Pasajero;De 21 a 24 a?s;Hombre;2;Ingreso inferior o igual a 24 horas;"447208,252";"4476063,574";N;NULL
2023S000009;01/01/2023;6:15:00;CALL. CARABIAS / AUTOV. A-5;1;10;LATINA;Choque contra obst?ulo fijo;NULL;Turismo;Conductor;De 55 a 59 a?s;Hombre;NULL;NULL;"434819,93";"4472083,195";S;NULL
2023S000010;01/01/2023;1:50:00;"AVDA. LOGRO?O, 179";179;21;BARAJAS;Alcance;Despejado;Turismo;Conductor;De 21 a 24 a?s;Mujer;NULL;NULL;"449521,612";"4478953,903";N;NULL
2023S000010;01/01/2023;1:50:00;"AVDA. LOGRO?O, 179";179;21;BARAJAS;Alcance;Despejado;Turismo;Conductor;De 25 a 29 a?s;Hombre;NULL;NULL;"449521,612";"4478953,903";N;NULL
2023S000010;01/01/2023;1:50:00;"AVDA. LOGRO?O, 179";179;21;BARAJAS;Alcance;Despejado;Turismo;Pasajero;De 21 a 24 a?s;Hombre;NULL;NULL;"449521,612";"4478953,903";N;NULL
2023S000011;01/01/2023;7:30:00;CALL. AQUITANIA / PLAZA. ALSACIA;2;20;SAN BLAS-CANILLEJAS;Atropello a persona;Nublado;Turismo;Conductor;De 65 a 69 a?s;Hombre;14;Sin asistencia sanitaria;"447132,497";"4474235,165";N;NULL
2023S000011;01/01/2023;7:30:00;CALL. AQUITANIA / PLAZA. ALSACIA;2;20;SAN BLAS-CANILLEJAS;Atropello a persona;Nublado;Turismo;Peat?;De 45 a 49 a?s;Hombre;NULL;NULL;"447132,497";"4474235,165";N;NULL
2023S000012;01/01/2023;7:00:00;"CALL. FERMIN CABALLERO, 69";69;8;FUENCARRAL-EL PARDO;Colisi? fronto-lateral;Nublado;Turismo;Conductor;De 25 a 29 a?s;Hombre;14;Sin asistencia sanitaria;"439625,933";"4481514,651";S;NULL
2023S000012;01/01/2023;7:00:00;"CALL. FERMIN CABALLERO, 69";69;8;FUENCARRAL-EL PARDO;Colisi? fronto-lateral;Nublado;Turismo;Conductor;De 65 a 69 a?s;Hombre;14;Sin asistencia sanitaria;"439625,933";"4481514,651";N;NULL
2023S000012;01/01/2023;7:00:00;"CALL. FERMIN CABALLERO, 69";69;8;FUENCARRAL-EL PARDO;Colisi? fronto-lateral;Nublado;Turismo;Pasajero;De 30 a 34 a?s;Mujer;2;Ingreso inferior o igual a 24 horas;"439625,933";"4481514,651";N;NULL
2023S000015;01/01/2023;8:11:00;"CALL. MAESTRO ARBOS, 3";3;2;ARGANZUELA;Colisi? m?tiple;Lluvia d?il;Turismo;Conductor;De 35 a 39 a?s;Hombre;NULL;NULL;"441017,906";"4471343,868";N;NULL
2023S000015;01/01/2023;8:11:00;"CALL. MAESTRO ARBOS, 3";3;2;ARGANZUELA;Colisi? m?tiple;Lluvia d?il;Turismo;Conductor;De 40 a 44 a?s;Hombre;14;Sin asistencia sanitaria;"441017,906";"4471343,868";N;NULL
2023S000015;01/01/2023;8:11:00;"CALL. MAESTRO ARBOS, 3";3;2;ARGANZUELA;Colisi? m?tiple;Lluvia d?il;Turismo;Conductor;Desconocido;Hombre;14;Sin asistencia sanitaria;"441017,906";"4471343,868";N;NULL
2023S000017;01/01/2023;8:33:00;"AVDA. GUADALAJARA, 110";110;20;SAN BLAS-CANILLEJAS;Alcance;Lluvia d?il;Turismo;Conductor;De 25 a 29 a?s;Hombre;6;Asistencia sanitaria inmediata en centro de salud o mutua;"448094,049";"4474838,558";N;NULL
2023S000017;01/01/2023;8:33:00;"AVDA. GUADALAJARA, 110";110;20;SAN BLAS-CANILLEJAS;Alcance;Lluvia d?il;Turismo;Conductor;De 35 a 39 a?s;Hombre;14;Sin asistencia sanitaria;"448094,049";"4474838,558";S;NULL
2023S000017;01/01/2023;8:33:00;"AVDA. GUADALAJARA, 110";110;20;SAN BLAS-CANILLEJAS;Alcance;Lluvia d?il;Turismo;Pasajero;De 21 a 24 a?s;Hombre;6;Asistencia sanitaria inmediata en centro de salud o mutua;"448094,049";"4474838,558";N;NULL
2023S000018;01/01/2023;17:40:00;"CALL. FRANCISCO SILVELA, 104";104;5;CHAMART?N;Colisi? m?tiple;Despejado;Furgoneta;Conductor;De 25 a 29 a?s;Hombre;1;Atenci? en urgencias sin posterior ingreso;"442411,382";"4476634,644";S;NULL
2023S000018;01/01/2023;17:40:00;"CALL. FRANCISCO SILVELA, 104";104;5;CHAMART?N;Colisi? m?tiple;Despejado;Turismo;Conductor;De 35 a 39 a?s;Mujer;14;Sin asistencia sanitaria;"442411,382";"4476634,644";N;NULL
2023S000018;01/01/2023;17:40:00;"CALL. FRANCISCO SILVELA, 104";104;5;CHAMART?N;Colisi? m?tiple;Despejado;Turismo;Conductor;De 55 a 59 a?s;Hombre;14;Sin asistencia sanitaria;"442411,382";"4476634,644";N;NULL
2023S000018;01/01/2023;17:40:00;"CALL. FRANCISCO SILVELA, 104";104;5;CHAMART?N;Colisi? m?tiple;Despejado;Turismo;Pasajero;De 10 a 14 a?s;Mujer;14;Sin asistencia sanitaria;"442411,382";"4476634,644";N;NULL
2023S000018;01/01/2023;17:40:00;"CALL. FRANCISCO SILVELA, 104";104;5;CHAMART?N;Colisi? m?tiple;Despejado;Turismo;Pasajero;De 45 a 49 a?s;Hombre;14;Sin asistencia sanitaria;"442411,382";"4476634,644";N;NULL
2023S000019;01/01/2023;8:57:00;CALLE DANTE - ACCESO HACIA LA AVENIDA DE PORTUGAL;15;10;LATINA;Choque contra obst?ulo fijo;Nublado;Turismo;Conductor;De 30 a 34 a?s;Hombre;NULL;NULL;"437082,736";"4473412,038";S;1
2023S000020;01/01/2023;9:15:00;"CALL. PALOS DE LA FRONTERA, 12";12;2;ARGANZUELA;Colisi? fronto-lateral;Lluvia d?il;NULL;Conductor;Desconocido;Desconocido;NULL;NULL;"440644,985";"4472707,072";N;NULL
2023S000020;01/01/2023;9:15:00;"CALL. PALOS DE LA FRONTERA, 12";12;2;ARGANZUELA;Colisi? fronto-lateral;Lluvia d?il;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;"440644,985";"4472707,072";N;NULL
2023S000023;01/01/2023;7:50:00;CALL. BENJAMIN PALENCIA / CALL. RAMON PEREZ DE AYALA;1;13;PUENTE DE VALLECAS;Choque contra obst?ulo fijo;Despejado;NULL;Conductor;Desconocido;Desconocido;NULL;NULL;"444532,82";"4471959,571";N;NULL
2023S000023;01/01/2023;7:50:00;CALL. BENJAMIN PALENCIA / CALL. RAMON PEREZ DE AYALA;1;13;PUENTE DE VALLECAS;Choque contra obst?ulo fijo;Despejado;Veh?ulo articulado;Conductor;Desconocido;Desconocido;NULL;NULL;"444532,82";"4471959,571";N;NULL
2023S000024;01/01/2023;10:05:00;"AVDA. EMPERATRIZ ISABEL, 4";4;11;CARABANCHEL;Colisi? m?tiple;Nublado;Turismo;Conductor;De 40 a 44 a?s;Hombre;NULL;NULL;"439137,18";"4472181,449";S;NULL
2023S000024;01/01/2023;10:05:00;"AVDA. EMPERATRIZ ISABEL, 4";4;11;CARABANCHEL;Colisi? m?tiple;Nublado;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;"439137,18";"4472181,449";N;NULL
2023S000024;01/01/2023;10:05:00;"AVDA. EMPERATRIZ ISABEL, 4";4;11;CARABANCHEL;Colisi? m?tiple;Nublado;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;"439137,18";"4472181,449";N;NULL
2023S000025;01/01/2023;8:34:00;M-30 CALZADA EXTERIOR INCORPORACI?N. M-11;01XC01;15;CIUDAD LINEAL;Solo salida de la v?;Lluvia d?il;Turismo;Conductor;De 35 a 39 a?s;Hombre;NULL;NULL;"443099,142";"4481673,728";N;NULL
2023S000026;01/01/2023;8:05:00;"CALL. BAILEN, 6";6;1;CENTRO;Choque contra obst?ulo fijo;Lluvia d?il;Turismo;Conductor;De 30 a 34 a?s;Hombre;NULL;NULL;"439496,718";"4474300,91";N;NULL
2023S000027;01/01/2023;7:47:00;CALL. SECOYA / AVDA. POBLADOS;3;11;CARABANCHEL;Alcance;Lluvia d?il;Furgoneta;Conductor;De 45 a 49 a?s;Hombre;14;Sin asistencia sanitaria;"437014,451";"4469395,341";N;NULL
2023S000027;01/01/2023;7:47:00;CALL. SECOYA / AVDA. POBLADOS;3;11;CARABANCHEL;Alcance;Lluvia d?il;Turismo;Conductor;De 35 a 39 a?s;Hombre;14;Sin asistencia sanitaria;"437014,451";"4469395,341";N;NULL
2023S000027;01/01/2023;7:47:00;CALL. SECOYA / AVDA. POBLADOS;3;11;CARABANCHEL;Alcance;Lluvia d?il;Turismo;Pasajero;De 30 a 34 a?s;Mujer;7;Asistencia sanitaria s?o en el lugar del accidente;"437014,451";"4469395,341";N;NULL
2023S000028;01/01/2023;11:50:00;CALL. ARROYO DEL OLIVAR / CALL. SAN MIGUEL;85;13;PUENTE DE VALLECAS;Colisi? fronto-lateral;Despejado;Turismo;Conductor;De 35 a 39 a?s;Hombre;NULL;NULL;"444793,06";"4471050,483";N;NULL
2023S000028;01/01/2023;11:50:00;CALL. ARROYO DEL OLIVAR / CALL. SAN MIGUEL;85;13;PUENTE DE VALLECAS;Colisi? fronto-lateral;Despejado;Turismo;Conductor;De 40 a 44 a?s;Hombre;NULL;NULL;"444793,06";"4471050,483";N;NULL
2023S000028;01/01/2023;11:50:00;CALL. ARROYO DEL OLIVAR / CALL. SAN MIGUEL;85;13;PUENTE DE VALLECAS;Colisi? fronto-lateral;Despejado;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;"444793,06";"4471050,483";N;NULL
2023S000028;01/01/2023;11:50:00;CALL. ARROYO DEL OLIVAR / CALL. SAN MIGUEL;85;13;PUENTE DE VALLECAS;Colisi? fronto-lateral;Despejado;Turismo;Pasajero;De 35 a 39 a?s;Mujer;NULL;NULL;"444793,06";"4471050,483";N;NULL
2023S000028;01/01/2023;11:50:00;CALL. ARROYO DEL OLIVAR / CALL. SAN MIGUEL;85;13;PUENTE DE VALLECAS;Colisi? fronto-lateral;Despejado;Turismo;Pasajero;De 40 a 44 a?s;Hombre;NULL;NULL;"444793,06";"4471050,483";N;NULL
2023S000029;01/01/2023;10:20:00;PLAZA. ALCALDE MORENO TORRES / AVDA PI Y MARGAL;1A;16;HORTALEZA;Choque contra obst?ulo fijo;Nublado;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;"444340,748";"4482134,447";N;NULL
2023S000030;01/01/2023;11:40:00;"AVDA. HELLIN, 13";13;20;SAN BLAS-CANILLEJAS;Choque contra obst?ulo fijo;Despejado;Turismo;Conductor;De 35 a 39 a?s;Mujer;NULL;NULL;"447765,827";"4475767,153";N;NULL
2023S000030;01/01/2023;11:40:00;"AVDA. HELLIN, 13";13;20;SAN BLAS-CANILLEJAS;Choque contra obst?ulo fijo;Despejado;Turismo;Conductor;De 45 a 49 a?s;Mujer;NULL;NULL;"447765,827";"4475767,153";N;NULL
2023S000031;01/01/2023;13:00:00;"CALL. EDGAR NEVILLE, 21A";21A;6;TETU?N;Colisi? lateral;Despejado;Turismo;Conductor;De 45 a 49 a?s;Hombre;NULL;NULL;"440908,959";"4477845,53";N;NULL
2023S000031;01/01/2023;13:00:00;"CALL. EDGAR NEVILLE, 21A";21A;6;TETU?N;Colisi? lateral;Despejado;Turismo;Conductor;M? de 74 a?s;Hombre;NULL;NULL;"440908,959";"4477845,53";N;NULL
2023S000032;01/01/2023;13:00:00;AVDA. MONASTERIO DE EL ESCORIAL / AVDA. SANTUARIO DE VALVERDE;7A;8;FUENCARRAL-EL PARDO;Atropello a persona;Despejado;Turismo;Conductor;De 45 a 49 a?s;Hombre;14;Sin asistencia sanitaria;"439937,267";"4483990,555";N;NULL
2023S000032;01/01/2023;13:00:00;AVDA. MONASTERIO DE EL ESCORIAL / AVDA. SANTUARIO DE VALVERDE;7A;8;FUENCARRAL-EL PARDO;Atropello a persona;Despejado;Turismo;Peat?;M? de 74 a?s;Hombre;3;Ingreso superior a 24 horas;"439937,267";"4483990,555";N;NULL
2023S000033;01/01/2023;13:00:00;CALL. GONZALEZ FEITO / CMNO. PERALES;37;12;USERA;Choque contra obst?ulo fijo;Despejado;Autob?;Conductor;De 50 a 54 a?s;Hombre;NULL;NULL;"441270,079";"4470223,568";N;NULL
2023S000034;01/01/2023;15:30:00;AVDA. ALBUFERA / AVDA. BUENOS AIRES;137;13;PUENTE DE VALLECAS;Colisi? lateral;Despejado;Turismo;Conductor;De 45 a 49 a?s;Hombre;NULL;NULL;"444493,451";"4471418,885";N;NULL
2023S000034;01/01/2023;15:30:00;AVDA. ALBUFERA / AVDA. BUENOS AIRES;137;13;PUENTE DE VALLECAS;Colisi? lateral;Despejado;Turismo;Conductor;De 55 a 59 a?s;Hombre;NULL;NULL;"444493,451";"4471418,885";N;NULL
2023S000035;01/01/2023;14:58:00;AVDA. FRANCISCO PI Y MARGALL / PLAZA. ALCALDE MORENO TORRES;3;16;HORTALEZA;Colisi? fronto-lateral;Despejado;Turismo;Conductor;De 25 a 29 a?s;Hombre;NULL;NULL;"444255,151";"4482293,301";N;NULL
2023S000035;01/01/2023;14:58:00;AVDA. FRANCISCO PI Y MARGALL / PLAZA. ALCALDE MORENO TORRES;3;16;HORTALEZA;Colisi? fronto-lateral;Despejado;Turismo;Conductor;De 55 a 59 a?s;Hombre;NULL;NULL;"444255,151";"4482293,301";N;NULL
2023S000036;01/01/2023;14:00:00;"PLAZA. LEGAZPI, 3";3;2;ARGANZUELA;Alcance;Despejado;Autob?;Conductor;De 35 a 39 a?s;Hombre;14;Sin asistencia sanitaria;"440972,485";"4471393,795";N;NULL
2023S000036;01/01/2023;14:00:00;"PLAZA. LEGAZPI, 3";3;2;ARGANZUELA;Alcance;Despejado;Turismo;Conductor;De 25 a 29 a?s;Hombre;6;Asistencia sanitaria inmediata en centro de salud o mutua;"440972,485";"4471393,795";N;NULL
2023S000037;01/01/2023;17:40:00;CALL. NECTAR / CALL. ESFINGE;49;20;SAN BLAS-CANILLEJAS;Otro;NULL;Turismo;Conductor;De 55 a 59 a?s;Hombre;NULL;NULL;"448278,667";"4477173,879";N;NULL
2023S000038;01/01/2023;15:16:00;AVDA. ARCENTALES / ARCEN;80;20;SAN BLAS-CANILLEJAS;Colisi? fronto-lateral;Despejado;Turismo;Conductor;De 40 a 44 a?s;Mujer;14;Sin asistencia sanitaria;"449335,804";"4475708,771";N;NULL
2023S000038;01/01/2023;15:16:00;AVDA. ARCENTALES / ARCEN;80;20;SAN BLAS-CANILLEJAS;Colisi? fronto-lateral;Despejado;Turismo;Conductor;De 45 a 49 a?s;Mujer;7;Asistencia sanitaria s?o en el lugar del accidente;"449335,804";"4475708,771";N;NULL
2023S000038;01/01/2023;15:16:00;AVDA. ARCENTALES / ARCEN;80;20;SAN BLAS-CANILLEJAS;Colisi? fronto-lateral;Despejado;Turismo;Pasajero;De 10 a 14 a?s;Hombre;7;Asistencia sanitaria s?o en el lugar del accidente;"449335,804";"4475708,771";N;NULL
2023S000038;01/01/2023;15:16:00;AVDA. ARCENTALES / ARCEN;80;20;SAN BLAS-CANILLEJAS;Colisi? fronto-lateral;Despejado;Turismo;Pasajero;De 18 a 20 a?s;Mujer;7;Asistencia sanitaria s?o en el lugar del accidente;"449335,804";"4475708,771";N;NULL
2023S000038;01/01/2023;15:16:00;AVDA. ARCENTALES / ARCEN;80;20;SAN BLAS-CANILLEJAS;Colisi? fronto-lateral;Despejado;Turismo;Pasajero;De 45 a 49 a?s;Hombre;7;Asistencia sanitaria s?o en el lugar del accidente;"449335,804";"4475708,771";N;NULL
2023S000038;01/01/2023;15:16:00;AVDA. ARCENTALES / ARCEN;80;20;SAN BLAS-CANILLEJAS;Colisi? fronto-lateral;Despejado;Turismo;Pasajero;De 6 a 9 a?s;Hombre;7;Asistencia sanitaria s?o en el lugar del accidente;"449335,804";"4475708,771";N;NULL
2023S000039;01/01/2023;18:10:00;"AVDA. DAROCA, 94";94;15;CIUDAD LINEAL;Colisi? fronto-lateral;Despejado;Turismo;Conductor;De 40 a 44 a?s;Mujer;14;Sin asistencia sanitaria;"445200,149";"4475211,256";N;NULL
2023S000039;01/01/2023;18:10:00;"AVDA. DAROCA, 94";94;15;CIUDAD LINEAL;Colisi? fronto-lateral;Despejado;Turismo;Conductor;De 45 a 49 a?s;Hombre;14;Sin asistencia sanitaria;"445200,149";"4475211,256";N;NULL
2023S000039;01/01/2023;18:10:00;"AVDA. DAROCA, 94";94;15;CIUDAD LINEAL;Colisi? fronto-lateral;Despejado;Turismo;Pasajero;De 45 a 49 a?s;Mujer;14;Sin asistencia sanitaria;"445200,149";"4475211,256";N;NULL
2023S000039;01/01/2023;18:10:00;"AVDA. DAROCA, 94";94;15;CIUDAD LINEAL;Colisi? fronto-lateral;Despejado;Turismo;Pasajero;De 70 a 74 a?s;Hombre;14;Sin asistencia sanitaria;"445200,149";"4475211,256";N;NULL
2023S000041;02/01/2023;21:25:00;CALL. ANTONIO LOPEZ / GTA. MALAGA;249;12;USERA;Colisi? frontal;Despejado;Cami? r?ido;Conductor;De 40 a 44 a?s;Hombre;NULL;NULL;"441045,929";"4469800,547";S;NULL
2023S000041;02/01/2023;21:25:00;CALL. ANTONIO LOPEZ / GTA. MALAGA;249;12;USERA;Colisi? frontal;Despejado;Turismo;Conductor;De 55 a 59 a?s;Hombre;NULL;NULL;"441045,929";"4469800,547";N;NULL
2023S000044;01/01/2023;19:09:00;CALL. SAN ROMUALDO / CALL. ALBASANZ;13;20;SAN BLAS-CANILLEJAS;Choque contra obst?ulo fijo;Despejado;Turismo;Conductor;De 50 a 54 a?s;Mujer;NULL;NULL;"447259,626";"4476650,376";N;NULL
2023S000044;01/01/2023;19:09:00;CALL. SAN ROMUALDO / CALL. ALBASANZ;13;20;SAN BLAS-CANILLEJAS;Choque contra obst?ulo fijo;Despejado;Turismo;Pasajero;De 18 a 20 a?s;Hombre;NULL;NULL;"447259,626";"4476650,376";N;NULL
2023S000044;01/01/2023;19:09:00;CALL. SAN ROMUALDO / CALL. ALBASANZ;13;20;SAN BLAS-CANILLEJAS;Choque contra obst?ulo fijo;Despejado;Turismo;Pasajero;De 21 a 24 a?s;Hombre;NULL;NULL;"447259,626";"4476650,376";N;NULL
2023S000046;01/01/2023;21:45:00;AVDA. PESETA / CALL. MORALES;63;11;CARABANCHEL;Ca?a;Despejado;Ciclomotor;Conductor;De 18 a 20 a?s;Hombre;7;Asistencia sanitaria s?o en el lugar del accidente;"435805,378";"4468269,107";N;NULL
2023S000047;01/01/2023;5:40:00;"CALL. AQUITANIA, 59";59;20;SAN BLAS-CANILLEJAS;Choque contra obst?ulo fijo;Despejado;Turismo;Conductor;De 55 a 59 a?s;Mujer;NULL;NULL;"447902,593";"4474581,305";N;NULL
2023S000047;01/01/2023;5:40:00;"CALL. AQUITANIA, 59";59;20;SAN BLAS-CANILLEJAS;Choque contra obst?ulo fijo;Despejado;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;"447902,593";"4474581,305";N;NULL
2023S000048;01/01/2023;22:58:00;"CUSTA. SAN VICENTE, 6";6;9;MONCLOA-ARAVACA;Colisi? lateral;Despejado;Turismo;Conductor;De 40 a 44 a?s;Hombre;NULL;NULL;"439449,654";"4474797,873";N;NULL
2023S000048;01/01/2023;22:58:00;"CUSTA. SAN VICENTE, 6";6;9;MONCLOA-ARAVACA;Colisi? lateral;Despejado;Turismo;Conductor;De 50 a 54 a?s;Mujer;NULL;NULL;"439449,654";"4474797,873";N;NULL
2023S000049;01/01/2023;23:30:00;"CALL. LEONESES, 4";4;13;PUENTE DE VALLECAS;Colisi? fronto-lateral;Despejado;Turismo;Conductor;De 25 a 29 a?s;Hombre;NULL;NULL;"445009,718";"4470432,691";N;NULL
2023S000049;01/01/2023;23:30:00;"CALL. LEONESES, 4";4;13;PUENTE DE VALLECAS;Colisi? fronto-lateral;Despejado;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;"445009,718";"4470432,691";N;NULL
2023S000049;01/01/2023;23:30:00;"CALL. LEONESES, 4";4;13;PUENTE DE VALLECAS;Colisi? fronto-lateral;Despejado;Turismo;Conductor;Desconocido;Mujer;NULL;NULL;"445009,718";"4470432,691";N;NULL
2023S000052;02/01/2023;0:05:00;"AVDA. CORDOBA, 45";45;12;USERA;Alcance;Despejado;Ciclomotor;Conductor;De 21 a 24 a?s;Hombre;NULL;NULL;"440893,301";"4469702,021";N;NULL
2023S000052;02/01/2023;0:05:00;"AVDA. CORDOBA, 45";45;12;USERA;Alcance;Despejado;Turismo;Conductor;De 25 a 29 a?s;Hombre;NULL;NULL;"440893,301";"4469702,021";N;NULL
2023S000054;02/01/2023;1:50:00;"CALL. SAHARA, 58";58;17;VILLAVERDE;Choque contra obst?ulo fijo;NULL;Tractocami?;Conductor;De 40 a 44 a?s;Hombre;NULL;NULL;"441293,033";"4467162,414";S;NULL
2023S000054;02/01/2023;1:50:00;"CALL. SAHARA, 58";58;17;VILLAVERDE;Choque contra obst?ulo fijo;NULL;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;"441293,033";"4467162,414";N;NULL
2023S000054;02/01/2023;1:50:00;"CALL. SAHARA, 58";58;17;VILLAVERDE;Choque contra obst?ulo fijo;NULL;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;"441293,033";"4467162,414";N;NULL
2023S000055;02/01/2023;5:40:00;"PASEO. EXTREMADURA, 151";151;10;LATINA;Vuelco;NULL;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;"437080,649";"4473399,661";N;NULL
2023S000056;02/01/2023;7:05:00;CALL. ALBERTO AGUILERA / CALL. SERRANO JOVER;37;1;CENTRO;Colisi? fronto-lateral;Lluvia d?il;Furgoneta;Conductor;De 35 a 39 a?s;Mujer;NULL;NULL;"439427,599";"4475766,864";N;NULL
